dt,x,y,position,velocity,acceleration,jerk,heading
0.04,188.768,160.614,0.030952,1.547619,38.690476,967.261905,3.119247
0.04,188.768,160.614,0.154762,4.642857,77.380952,967.261905,3.117911
0.04,188.610626,160.618068,0.433333,9.285714,116.071429,967.261905,3.114891
0.04,188.115609,160.632631,0.928571,15.476190,154.761905,967.261905,3.109461
0.04,187.373314,160.659564,1.671429,21.666667,154.761905,0.000000,3.101157
0.04,186.383859,160.705207,2.661905,27.857143,154.761905,0.000000,3.089774
0.04,185.147909,160.778387,3.900000,34.047619,154.761905,0.000000,3.075033
0.04,183.666534,160.890779,5.385714,40.238095,154.761905,-0.000000,3.056556
0.04,181.941298,161.057403,7.119048,46.428571,154.761905,0.000000,3.033854
0.04,179.974972,161.297228,9.100000,52.619048,154.761905,0.000000,3.006305
0.04,177.772083,161.633932,11.328571,58.809524,154.761905,0.000000,2.973138
0.04,175.339684,162.096842,13.804762,65.000000,154.761905,0.000000,2.933406
